skill_id,skill_title,skill_source,duplicated,dup_parent,dup_parent_id,time_added
0ac1485724bdc1680abf6fb3192ae080521454855844b248dae0e8be46821bd0,FORTRAN (Scientific Programming),Apps and Tools,0,NA,NA,3/8/2022 14:43
0ad2f6fd5592a8c41aa1ee23ad572e6bed0244c41ef06739a472fa136290c2a3,sustainability risk management,SFw TSC,0,NA,NA,19/8/2022 2:31
0ae49007f76957f1ea62e94eebb67b5b2ea3987d0797bc277992dc48ecced964,food and beverage quality assurance framework development,SFw TSC,0,NA,NA,3/8/2022 14:43
0b07b7d671c2ab827bf74e7a78327161001a166a9e31de962ab327006b5b4abf,Oracle SQL Developer,Apps and Tools,0,NA,NA,3/8/2022 14:43
0b0b183ca6e7d20761400de5906a0cbfc31a648f134fb7bd5b24c7f63cca98dd,AIX,Apps and Tools,0,NA,NA,3/8/2022 14:43
0b0fa79f1692d88d8526dc26627b683b2eac5b521a7c108d026cc0496b2fdcdb,ground support equipment safety audit inspections,SFw TSC,0,NA,NA,3/8/2022 14:43
0b1bf862faf4321747116b3b1a9919d1ad04378329b7d244d2488e80e4ea409d,risk and compliance management,SFw TSC,0,NA,NA,3/8/2022 14:43
0b62276f0acabc475696559f9ee5acc30296d0692549ff60dbfe1f478aa559e1,e-logistics it solutioning,SFw TSC,0,NA,NA,3/8/2022 14:43
0b642d2e9f0f4034df48445d00eb04b446a2fad18fff814485dcd93244df536a,unit load devices operations,SFw TSC,0,NA,NA,3/8/2022 14:43
0babec984c587d1765988f9cac86a8b193bfcffda93db1fe7ab7308538408e80,internal audit quality assurance,SFw TSC,0,NA,NA,3/8/2022 14:43
0bafa0094b2ba0a0e0c1f803a147cb2c2cd0bba2f1001f64b3aa9f9deca7070b,Motor-CAD,Apps and Tools,0,NA,NA,3/8/2022 14:43
0bb87963eb5cc140288a6115c4154ffd4d40ec662cfb21a85984b29011031a8c,Prisma Cloud,Apps and Tools,0,NA,NA,3/8/2022 14:43
0c0905aa03a160325bc8721681d5deefe9b3f1798680e52760432d1253e93338,service partnerships,SFw TSC,0,NA,NA,3/8/2022 14:43
0c0b558fdcae6add738414a9f504936afbd764c02a9afe8a08635a0856f18f5a,Oracle Rac,Apps and Tools,0,NA,NA,3/8/2022 14:43
0c276269cfb2048c4ecfa304230d52afbe21fd66d465604163bd26c4246ed41e,MQSeries,Apps and Tools,0,NA,NA,3/8/2022 14:43
0c36d2ccd94386113f9fc368e8fb740edd81cdd908e14681ef7b1edd1cb1fdcd,research data collection and management,SFw TSC,0,NA,NA,3/8/2022 14:43
0c3885d67f36ed8a7adc6e0473b50d0ca5ae8f12ec9c73f3155f8cedc363bd6b,signal interlocking systems maintenance,SFw TSC,0,NA,NA,3/8/2022 14:43
0c39ab2f9d234c6c574b7c5ba4d5f0922d347df24ea6cb806f62af635cbe3c89,workplace safety and health for tank cleaning,SFw TSC,0,NA,NA,3/8/2022 14:43
0c3b334e6bc84421d16fdce1b6f58431956feb0ca4a9fcfa15345125ad9e8e7d,game server programming,SFw TSC,0,NA,NA,3/8/2022 14:43
0c6656da365a367fec3cc316ba9332f54d3ecc66a960cef174e007b634d405e3,access control management,SFw TSC,0,NA,NA,3/8/2022 14:43
0c6f719212dae4bf561eaf272279378ca346343bb6823991e420ce812dad56ee,maritime safety performance management,SFw TSC,0,NA,NA,3/8/2022 14:43
0c7b62ba106b21fddbf431bf45f50543118db401db6854be9ddb643b73a9405d,client assessment for occupational therapy,SFw TSC,0,NA,NA,3/8/2022 14:43
0cb87f727f31e5f5a59cca8a10c8f9b55622be05305d4e7e92c334f5911e1034,Ansible,Apps and Tools,0,NA,NA,3/8/2022 14:43
0cd8666848bf286d951c3d230e8b6e092fde03c3a080e3454467e496e7b14e78,SQLite,Apps and Tools,0,NA,NA,3/8/2022 14:43
0cebc2e03f9f233d69043fc3d225e27eed2b90106c614e35eaa8bed60549b85c,treasury management,SFw TSC,0,NA,NA,3/8/2022 14:43
